# Freq(Hz) Mag(ohms) Phase(deg)
1.78378378378378e+02 -1.41480069484201e+01 -8.76981753757095e+01
1.79329329329329e+02 -1.41941255817400e+01 -8.77103712737614e+01
1.80280280280280e+02 -1.42400009686272e+01 -8.77224386697319e+01
1.81231231231231e+02 -1.42856356581028e+01 -8.77343795830913e+01
1.82182182182182e+02 -1.43310321593832e+01 -8.77461959912314e+01
1.83133133133133e+02 -1.43761929427031e+01 -8.77578898305556e+01
1.84084084084084e+02 -1.44211204401181e+01 -8.77694629975351e+01
1.85035035035035e+02 -1.44658170462864e+01 -8.77809173497323e+01
1.85985985985986e+02 -1.45102851192303e+01 -8.77922547067936e+01
1.86936936936937e+02 -1.45545269810792e+01 -8.78034768514111e+01
1.87887887887888e+02 -1.45985449187932e+01 -8.78145855302558e+01
1.88838838838839e+02 -1.46423411848686e+01 -8.78255824548825e+01
1.89789789789790e+02 -1.46859179980269e+01 -8.78364693026074e+01
1.90740740740741e+02 -1.47292775438848e+01 -8.78472477173601e+01
1.91691691691692e+02 -1.47724219756094e+01 -8.78579193105093e+01
1.92642642642643e+02 -1.48153534145566e+01 -8.78684856616650e+01
1.93593593593594e+02 -1.48580739508935e+01 -8.78789483194568e+01
1.94544544544545e+02 -1.49005856442066e+01 -8.78893088022895e+01
1.95495495495496e+02 -1.49428905240944e+01 -8.78995685990763e+01
1.96446446446446e+02 -1.49849905907462e+01 -8.79097291699517e+01
1.97397397397397e+02 -1.50268878155069e+01 -8.79197919469624e+01
1.98348348348348e+02 -1.50685841414285e+01 -8.79297583347402e+01
1.99299299299299e+02 -1.51100814838080e+01 -8.79396297111539e+01
2.00250250250250e+02 -1.51513817307132e+01 -8.79494074279437e+01
2.01201201201201e+02 -1.51924867434956e+01 -8.79590928113377e+01
2.02152152152152e+02 -1.52333983572919e+01 -8.79686871626503e+01
2.03103103103103e+02 -1.52741183815128e+01 -8.79781917588648e+01
2.04054054054054e+02 -1.53146486003219e+01 -8.79876078531985e+01
2.05005005005005e+02 -1.53549907731021e+01 -8.79969366756539e+01
2.05955955955956e+02 -1.53951466349121e+01 -8.80061794335524e+01
2.06906906906907e+02 -1.54351178969325e+01 -8.80153373120556e+01
2.07857857857858e+02 -1.54749062469012e+01 -8.80244114746704e+01
2.08808808808809e+02 -1.55145133495393e+01 -8.80334030637418e+01
2.09759759759760e+02 -1.55539408469673e+01 -8.80423132009314e+01
2.10710710710711e+02 -1.55931903591120e+01 -8.80511429876831e+01
2.11661661661662e+02 -1.56322634841043e+01 -8.80598935056769e+01
2.12612612612613e+02 -1.56711617986681e+01 -8.80685658172696e+01
2.13563563563564e+02 -1.57098868585001e+01 -8.80771609659247e+01
2.14514514514515e+02 -1.57484401986425e+01 -8.80856799766300e+01
2.15465465465465e+02 -1.57868233338458e+01 -8.80941238563049e+01
2.16416416416416e+02 -1.58250377589252e+01 -8.81024935941965e+01
2.17367367367367e+02 -1.58630849491083e+01 -8.81107901622656e+01
2.18318318318318e+02 -1.59009663603754e+01 -8.81190145155626e+01
2.19269269269269e+02 -1.59386834297927e+01 -8.81271675925933e+01
2.20220220220220e+02 -1.59762375758383e+01 -8.81352503156757e+01
2.21171171171171e+02 -1.60136301987209e+01 -8.81432635912875e+01
2.22122122122122e+02 -1.60508626806919e+01 -8.81512083104045e+01
2.23073073073073e+02 -1.60879363863513e+01 -8.81590853488304e+01
2.24024024024024e+02 -1.61248526629460e+01 -8.81668955675184e+01
2.24974974974975e+02 -1.61616128406631e+01 -8.81746398128847e+01
2.25925925925926e+02 -1.61982182329164e+01 -8.81823189171136e+01
2.26876876876877e+02 -1.62346701366266e+01 -8.81899336984556e+01
2.27827827827828e+02 -1.62709698324966e+01 -8.81974849615176e+01
2.28778778778779e+02 -1.63071185852799e+01 -8.82049734975460e+01
2.29729729729730e+02 -1.63431176440450e+01 -8.82124000847029e+01
2.30680680680681e+02 -1.63789682424325e+01 -8.82197654883351e+01
2.31631631631632e+02 -1.64146715989086e+01 -8.82270704612372e+01
